用户,评分,评论内容,评论时间,用户地址
我***原,5,小新果然很不错，颜值抗打，大屏幕，超强酷睿Ultra处理器，用起来也是顺畅的飞起，趁着国补入手简直不要太香👍,2025-01-24 18:04:19,湖北
z***9,5,联系联想品牌一直是值得信赖的。做工非常好，很薄，性能强劲，散热好，整速度快，又加了AI功能非常的适合于办公生活用。无论是办公还是自用，都非常合适。,2025-02-10 09:54:26,辽宁
K***u,5,联想小新 Pro 16 真香！酷睿 Ultra5 强芯加持，32G+1T大存储，流畅丝滑，运行无压力。用来画图都可以！,2025-01-22 16:12:06,湖南
E***6,5,"轻薄机身，跟我之前用的thinkpad比起来可太轻了，出差很方便。高清性能大屏，支持120HZ高刷新率。最新版酷睿Ultra9集成CPU,多任务处理能力不用怀疑，多开几台虚拟机，运行调试，不在话下。客服服务也是杠杠给力，昨天收到笔记本，新机开荒一直到晚上12点，客服解答很到位，非常有耐心，感谢蔓蔓客服小姐姐，五星好评送给你🤲",2025-02-11 19:54:14,山西
仅***赖,5,才买的联想小新16pro 酷睿Ultra 用起来感觉不错，之前电脑设备太久，现在新电脑很丝滑，流畅度也很好，1TB内存空间很大完全办公够用了,2025-01-31 22:40:16,四川
j***w,5,运行速度：小新16pro&lsquo;酷睿Ultra&rsquo;版非常好用，画面精致、运行流畅，可以满足日常办公和游戏娱乐需求。,2025-01-23 15:43:41,陕西
吃***哇,5,电脑很轻薄 内置办公软件很不错 外观也挺好看的 也能玩游戏 运行也很流畅 大小也合适 续航能力还行 屏幕色彩也不错 总之性价比挺高,2025-02-12 09:19:47,北京
j***y,3,客服态度。。。一直机器,2023-07-05 16:58:03,广西
哦***来,5,这款笔记本电脑搭载了酷睿Ultra处理器，性能非常给力！无论是办公还是娱乐，都能轻松应对，速度快得飞起🚀，真是买对了！,2025-02-05 22:13:48,广东
1***h,5,买来好几天了一直在用，开机速度很快。运行速度快屏幕显示效果好。和以前的就不是一个级别。快递小哥送货速度快服务态度很好，点个赞,2025-01-20 21:54:22,北京
j***v,5,这款笔记本不错，搭配酷睿Ultra的CPU，非常适合日常办公所需，屏幕也足够大，看电影视频体验感很好。,2025-01-25 21:00:01,湖北
2***6,5,"平台购物安心配送快捷安全，老品牌性价比高，有国补很划算
开机使用性能好
运行速度：平稳 快捷
散热性能：见效果快",2025-01-24 16:48:28,江苏
j***t,5,京东物流真的很快，前一天购买，第二天就到了。联想小新16pro搭载酷睿Ultra5系统，相当的适合于办公了，这几天继续体验超新笔记本给带来的优质服务！,2025-01-26 23:10:25,辽宁
2***g,5,收到货很满意，京东快递太给力了第二天就到货了，选择了酷睿ultra处理器带AI功能，比较适合我的工作，方便了很对，用了几天，非常满意，,2025-01-23 00:07:21,辽宁
阿***格,5,酷睿Ultra强的可怕 打游戏3A2k随便秒啊，黑神话悟空也能拿捏，大牌轻薄本中公认的标杆，性能强劲、屏幕出色、续航优秀。非常适合商务人士，方便携带，性价比简直不要太高啊！,2025-02-12 20:26:54,浙江
c***0,5,一直口水英特酷睿Ultra平台的笔记本电脑，看了很久，还是选择联想小新，不负众望，真心好用，速度很快的说。,2025-02-11 13:05:36,重庆
j***8,5,非常满意的一次购物体验！酷睿ultra超乎想象，收到手的速度更是快得惊人。从下单到收货，整个过程高效快捷，服务态度也非常好，五星好评无疑！,2025-01-21 20:10:56,浙江
s***a,5,酷睿Ultra是我用过做好的电脑，整体运行一点都不卡顿，打游戏丝滑流畅，能够满足大学课程所有作业的要求，绝对好评！,2025-01-24 09:04:25,江苏
贴***心,5,这款笔记本电脑性价比超高，搭载最新的酷睿Ultra处理器，性能强劲，运行速度快，多任务处理轻松应对，屏幕显示也非常清晰，内存也够大，足以满足我工作学习娱乐的需求,2025-02-04 23:15:09,江苏
j***o,5,这已经是我买的第三台小新了，酷睿Ultra真的太好了，迫不及待的使用，开机速度很快，物流也很快，点赞。,2025-02-13 18:14:39,广东
j***t,5,酷睿Ultra性能强劲产品质量很好，很惊艳，很满意，兴价比高。很满意的一性购买，将来还会复单，值得信赖。产品不错，发货也很快，超出预期，很好用。,2025-02-11 22:49:41,浙江
j***i,5,&ldquo;酷睿UItra&rdquo;小新pro16，收到后很惊艳，灰色的外观低调中透露着高贵。大小合适，比较便于携带，屏幕大，系统运行流畅，配置性价比高，超级推荐！,2025-02-13 10:33:28,北京
2***r,5,买了 高性能轻薄本酷睿Ultra5 32G 1T 2.8K高刷屏笔记本，开机快，用起来快，办公游戏听音乐都很好办公笔记本轻薄方便携带，,2025-01-25 12:36:52,陕西
u***h,5,京东物流很快，第二天就到了。电脑小巧轻便，使用起来很流畅，酷睿Ultra最新的处理器，办公绝对没问题，相信可以使用很多年。,2025-02-08 16:13:12,江苏
小***噶,5,挺好的，屏幕素质很好 还搭载了intel酷睿Ultra5最新的处理器，32g内存也够用了。国补价格超级香，强烈推荐。,2025-02-11 15:19:59,湖南
u***z,5,新购买的酷睿ultra，当天下单，第二天就到了！物流点赞，包装的很严实。开机速度也很快，目前用起来很流畅！外观也很赞！,2025-02-08 10:47:50,湖南
雨***猫,5,笔记本做的挺轻薄，和以前的笔记本比完全不一样，比较适合办公，使用场景也分的更细了，开机运行速度很快，自带系统，如果能自带office办公软件更好了,2025-01-22 07:57:20,北京
j***b,5,问了专业弄电脑的一个哥哥，给我推荐了小新14和小新16，我老公看了介绍就说选择小新pro16的酷睿Ultra5，到货后出果然没让我失望，打开就很满意，颜值高，是我喜欢的类型，使用了很顺畅满足我办工作需求，开机快反映流畅，喜欢的赶紧入手吧,2025-01-17 17:15:23,四川
j***v,5,京东物流真的快，第二天就到货啦，非常满意，我选了 酷睿ultra5 处理器 智能AI ，这个很适合我，非常满意的一次购物.,2025-01-27 14:31:41,辽宁
j***l,5,这款酷睿Ultra16pro入手体验超棒!设计时尚，硬件 配置高端，系统运行丝滑流畅。完全超出我的预期。,2025-02-08 15:20:01,陕西
j***i,5,一次非常愉快的购物体验，酷睿UItra 16 英寸的笔记本屏幕大 搭配数字小键盘 使用感很舒服，小柿子客服的服务也非常出色。,2025-01-26 14:06:16,江苏
J***遮,5,好久没用过windows电脑了，这次因为工作原因选择了联想小新，使用酷睿Ultra处理器，运行速度快，电脑做工好，很满意。,2025-01-22 20:33:36,天津
j***s,5,比较了好几款电脑，最终选择了联想小新pro，看中了酷睿Ultra这个处理器，使用几天感觉不错，很满意,2025-02-10 20:57:36,天津
j***d,5,挑选了很多家。最终选了小新电脑。电脑收到了，外观非常的精致漂亮，非常的喜欢。物流非常的快。整体很满意,2025-02-08 19:50:32,北京
G***o,5,前一台电脑是小新16pro2021款，性价比高，现在再买一台2024款，做工和性价比都不错。这个系列定位很好，酷睿Ultra9平时做科研写论文打普通游戏都很方便。,2025-01-24 17:11:09,湖北
u***s,5,"非常满意的一次购物，酷睿Ultra CPU的小新笔记本电脑，
机速度快到飞起，屏幕显示非常清晰，外观漂
亮。",2025-01-20 19:32:33,四川
p***r,5,外表看着非常高级，性能也很好，搭配酷睿Ultra的处理器，选了最高32G的内存，看了下应该是板载内存，作为显存用性能也会更好。,2025-02-02 12:21:40,上海
j***2,5,看到25年还有国补 刚好需要个办公本 最后选择了这家 果然没有失望 物流次日达  本子不但反应快 做工好  显示效果出色 Ultra 5 这个处理器核显也非常给力  居然可以底效流畅3A单机游戏  给一个大大的赞👍🏻,2025-02-09 16:20:12,天津
阿***3,5,女儿上了大学，寒假在家没事给她买了个联想笔记本，看看电影，打打游戏，京东买的非常放心。电脑速度也非常快。酷睿Ultra，性能真不错，非常喜欢棒棒哒。,2025-01-17 19:52:56,江苏
j***u,5,联想品牌作为老品牌，值得信赖。我们家庭已经购买了第二台联想电脑，使用起来非常流畅，速度很快，没有卡顿现象。两个月以来，体验非常好。强烈推荐大家购买这款电脑，不仅性能优秀，而且外观时尚，灰色的超薄款式拿出去很有面子。强烈推荐大家尝试使用。,2025-02-07 15:43:11,北京
小***b,5,获补贴买的酷睿ultra5，用了一周感觉很不错，，昨天也刚设置了人脸识别，很香，喜欢！14寸对我来说也刚刚好！,2025-01-26 20:08:10,山西
浮***头,5,"首先说说品牌吧，联想在pc行业内也应该是妥妥的前三了，对比了其他两大品牌最终还是决定选择联想。
再说说价格，有了国补，真香。
U5的CPU，16g内存，16寸大屏，这配置真心不错。关键还有1000多的国补！本来不想买，就冲着国家补贴这个政策，提前消费，为国做贡献！买买买！",2025-01-30 11:45:34,江苏
-***驴,5,"晚上下单第二天上午送到。包装很结实。
性能很强，酷睿Ultra处理器➕32G内存，运行速度很快，非常推荐。",2025-01-21 19:02:36,天津
全***o,5,"酷睿UItra是我用过最好用的电脑，丝滑不卡顿，用来完成大学的课程作业刚刚好，好评！
运行速度：很快",2025-01-23 17:15:22,江苏
j***s,5,酷睿Ultra好用！！好丝滑而且非常貌美！！！太开心了终于买到了想要的电脑，物流超快，电脑很喜欢！使用很丝滑,2025-01-20 21:22:18,广东
j***k,5,联系小新pro16超性能本，酷睿UItra，16英寸，超薄超清晰，收到时很惊艳，款式时尚大气，买对了！,2025-02-13 21:24:03,江苏
j***A,5,昨天下午收到货，晚上女儿帮我激活，女儿也特别喜欢小巧做工细致不愧是联想大品牌，京东客服服务也非常周到，误解了鼠标问题，马上替我解决。下次继续光顾。,2025-02-06 11:38:54,浙江
j***v,5,到货很快！轻薄便捷，外观简洁，做工精细，性价比很高。还有国补非常不错。宝贝收到后很满意，外形颜色也很喜欢，挑选好多家，果然没看错，希望把好物分享给大家☺️,2025-01-20 14:07:05,浙江
天***4,5,东西收到了，确实不错这款笔记本电脑性价比超高！外观时尚大气💙，性能强劲，操作流畅。屏幕清晰细腻，使用体验非常棒，强烈推荐给朋友们！💯,2025-01-20 18:57:42,四川
j***a,5,这个笔记本我关注很久了，这次有活动就果断入手了，物流很快，几天就收到了，打开使用发现可以玩我喜欢的游戏，一点都不卡，支持！,2025-01-18 10:44:22,江苏
A***M,5,酷睿Ultra的使用体验远远超出了我的预期。它的性能非常强大，无论是日常使用还是运行大型应用程序都毫无压力。我非常满意这次购物，会推荐给需要的朋友。,2025-02-13 22:32:21,江苏
战***6,5,联想这款酷睿Ultra系列电脑确实很不错，外观，性能配置都拉满，同级别最高了吧，出差携带很方便，续航啊也够用，大品牌值得信赖，推荐！,2025-02-04 11:35:13,四川
z***0,5,"等了半年才入手，国补真香！
酷睿Ultra系统很不错，开机几秒，操作不卡顿，散热能力不错，声音也很大！
客服小林回答问题专业！",2025-02-13 15:39:41,广东
崇***p,5,电脑非常不错，大概四斤重，质感很结实，双风扇散热更给力，酷睿Ultra芯片专门为笔记本设计的感觉还是很不错的，32GB运存可以开好多后台,2025-01-24 23:53:48,山西
莔***艷,5,这款小新Pro14 酷睿UItra电脑，轻便携带，芯片强大，开机速度快，运行流畅，加上国补后价格很优惠,2025-02-07 01:42:40,广东
j***k,5,小新酷睿Ultra智慧薄笔记本，非常的薄轻，金属的机身，手感非常不错，屏幕效果非常惊喜，触摸式OIED屏，AI 体验非常灵活。,2025-02-05 17:48:53,湖南
p***b,5,"酷睿Ultra处理器果然很棒，纠结了好多
 问了好几个朋友最后选择了联想小新 我觉得配置完全够用，机器轻便，开机顺畅",2025-01-22 19:37:04,辽宁
j***i,5,趁国补，给孩子入手了这台联想小新16pro，机子搭配全新款的酷睿UItra5处理器，16寸的大屏，整体机子超薄，携带方便，灰色也很有质感，孩子很喜欢！,2025-01-21 19:09:14,浙江
2***l,5,看了很久 选择了这款联想小新 PRO16，酷睿 ultra 性能非常出众，而且带有AI功能，值得推荐。,2025-02-04 17:33:51,重庆
莹***台,5,快递很快，质量棒极了，建议购买商品物超所值，质量没毛病。物流迅速，商家服务热情，售后服务周到。很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心宝贝收到了，很惊喜，质量非常好，很满意的一次购物。我会继续回购的，店家值得信赖不得不说，这商品太值了，物美价廉，质量出色。物流快，商家服务周到，售后有保障。,2025-01-20 13:48:44,河南
j***r,5,给孩子准备上大学用的，买的有些早，特意选了一款性价比高的这款笔记本，孩子充电后又咨询了售后工程师，详细了解一下有关知识，便于今后使用。服务态度很好，比较放心！有问题以后再咨询,2025-02-10 16:19:03,山东
a***6,5,同事推荐的这款联想小新Pro14酷睿Ultra 5版本，系统运行流畅，内存大，日常办公游戏都可以满足，联想大品牌，值得信赖！,2025-01-31 22:35:09,陕西
j***l,5,同价位性价比很高的一款电脑，酷睿Ultra芯片运营速度很快，外观漂亮大气，很满意的一次购物，咱家小美客服也相当不错。,2025-01-29 11:25:01,河南
思***捏,5,酷睿Ultra这款电脑真是超值！键盘设计很贴心👍，使用起来非常顺手。性能方面特别满意，运行速度快，显示效果也非常好👌。整体性价比超高！💯,2025-01-24 09:40:20,内蒙古
j***v,5,买的酷睿UItra版本的，发货迅速，第二天就送到了，最近有国补价格十分实惠，新系统运行流畅，外观美观，爱了爱了,2025-02-07 14:07:17,山西
j***n,5,京东的物流非常快，这款笔记本电脑质量非常不错，很满意的一款。家人拿来办公使用的，家人看见电脑很满意。,2025-02-09 13:03:41,四川
王***0,5,趁着国补入手 酷睿ultra使用起来体验感太好了 运行很流畅 机身也很轻巧 上班使起来又方便又有面🤣,2025-02-12 11:20:33,浙江
a***c,5,小新16不卡顿，酷睿Ultra真的很不错，质量过硬。卖家服务态度热情，发货速度也很快，购物体验很棒！,2025-01-30 20:02:29,江西
c***q,5,之前买电脑的时候没有买这个售后，后来想了想，还是应该买这个是因为这样的话，可以保证五年的时间自己的电脑不会说是哪怕受损了，也可以买新机也可以换新机很不错，很满意,2025-02-07 19:58:48,北京
j***c,5,第一次买联想的产品就被惊喜到了。屏幕够大，适合办公三件套选手。ultra 5芯片很强悍，反应特别迅速。点赞！,2025-02-07 12:53:57,海外
t***9,5,一直想换电脑很久了，终于选了这款联想小新，轻薄质感很好，关键是处理器是酷睿 Ultra，反应速度很快，还有这个颜色爱了，希望能陪我长跑！,2025-02-13 21:01:02,浙江
j***2,5,笔记本品质配置都不错，很轻薄适合办公，思考了好久选择了联想小新pro16酷睿UItra5版本的，很适合自己,2025-02-11 23:00:41,河南
高***一,5,酷睿Ultra&rsquo;+小誉很好，整体运行更好，用来办公使用，ai功能也很不错，性价比也很高。,2025-02-07 22:09:02,广东
5***1,5,"正好有优惠活动，给孩子买了一台。联想这台笔记本非常划算，性能也非常好，尤其是酷睿ultra,性能真不错，孩子放寒假做做网课方便了",2025-01-18 09:53:01,江苏
财***7,5,联想电脑品质蛮不错，之前购买过联想小新air，现在再次选择联想小新14 R O，这款英特尔i7轻薄本在同类产品中表现出色。电脑使用顺畅，物流迅速，下单两三天顺利收到，非常满意。客服态度也很好，给予好评。,2025-01-23 18:15:20,江西
不***牛,5,没想到在京东能买到这么满意的商品！商品质量过硬，材质优良，用起来安全放心。设计新颖独特，既实用又美观。物流也很给力，下单后很快就送达了，包装很用心，没有任何损坏。客服服务态度极佳，耐心解答我的各种问题，购物过程非常愉快。以后有需要还会来京东，也会推荐给身边的朋友！,2025-02-02 10:23:09,江苏
j***6,5,"运行速度：很快，配置不错
屏幕效果：很好!清晰度高!护眼模式很好，有点智能
散热性能：散热东京目前为止还可以
外形外观：很喜欢深灰色

轻薄程度：很轻薄，便携，无压力
运行时声音不大，CPU直接飚到100%，风扇声音有一些些吧。",2025-02-16 11:52:11,天津
z***-,5,终于买到&lsquo;酷睿Ultra&rsquo;，价格特别合适！本人非常喜欢！颜值很高，运行速度非常好！感受到了做产品的用心！,2025-01-23 12:27:23,江苏
柯***加,5,用联想已经是第18个年头了。这款新本真的是性价比之王了，质量杠杠的，酷睿Ultra处理器真的是带我飞起来了。坚定的联想粉，哈哈哈哈哈。,2025-01-17 00:04:43,福建
精***妹,5,"酷睿 Ultra9 处理器很棒，开机速度快，这个型号办公，游戏都不错，很满意，价格也好，还有国补
屏幕效果：好
散热性能：不错
运行速度：快
外形外观：好看
轻薄程度：薄",2025-02-15 11:22:10,湖北
是***丶,5,这款产品的质量和性能让我惊艳不已！设计独特且实用，操作简单方便。卖家态度热情友好，提供了详细的售后服务。物流速度很快，包装严实，没有任何损坏。非常推荐购买！,2025-01-20 01:44:12,广东
u***8,5,"电脑性能出色，反应速度快，轻薄，多任务处理轻松应对，搭载酷睿 Ultra处理器，速度飞快，日常工作，用着很流畅
运行速度：很好
屏幕效果：也不错
散热性能：挺好
轻薄程度：非常薄",2025-02-12 23:27:49,江苏
京***东,5,买电子产品就上京东。质量有保障，发货也迅速，值得推荐，美中不足的是河南目前没有消费券，这就很烦人啦，如果有就更好啦，联想电脑性价比也挺高,2025-01-28 13:19:14,河南
丶***喵,5,"运行速度：运行速度很棒，酷睿加持飞快
屏幕效果：显示非常清晰，比以前用的水果还好
散热性能：散热很棒
外形外观：外观轻薄时尚",2025-02-09 17:36:10,浙江
h***E,5,"运行速度：非常流畅，日常办公，打游戏都可以的
屏幕效果：屏幕很清晰，观影感觉很不错
散热性能：冬天散热可以，毕竟天气冷，日常使用不发热
外形外观：外观很时尚
轻薄程度：很轻薄
运行速度：流畅，毕竟是超极本
其他特色：其他特色：. 酷睿Ultra+小誉很好
国补性价比很高",2025-02-16 18:49:26,陕西
j***7,5,酷睿Ultra16很优秀，做工扎实，屏幕优秀，以前的也是小新，用了5年了，这次再买给家里人，进步很大，客服小李很负责,2025-01-24 21:08:38,江苏
7***1,5,一直都是京东和联想的老粉丝，用过很多台电脑都是京东买的，非常满意，联想小新PRO16，选择了 酷睿ultra5 处理器 智能AI ，新款处理器性能很好，非常满意的一次购物.,2025-01-27 19:19:27,辽宁
j***u,5,很喜欢的一款笔记本电脑，外观轻巧酷睿Ultra芯片用起来流畅，儿子上课足够用了，还赶上补贴活动太值了，柳橙客服不错哦,2025-01-23 17:46:10,北京
周***1,5,"运行速度：开机速度很快，酷睿Ultra 5运行顺畅
屏幕效果：选的LCD屏幕，对眼睛比较好
散热性能：散热也不错
外形外观：外形简洁大方，爱了
轻薄程度：非常轻薄，适合女生用",2025-02-14 18:32:28,广东
T***n,5,期待小新14pro很久了，终于在国补期间拿下，颜值和质感没得说，非常棒，&ldquo;酷睿Ultra&rdquo; 使用体验感也很好,2025-01-20 19:57:20,广东
h***n,5,酷睿Ultra非常智能 之前有买air系列 这次的Ultra真的让我眼前一亮 Oled 屏幕显示效果很好 显示的很鲜艳 电脑外观也做了升级 很新鲜的设计 最重要的是刷新率包括处理器都全面升级了 还有充电器 以前带的看重了 现在真正做到了便捷和高效的充电速度,2025-02-08 14:28:13,浙江
卡***里,5,"运行速度：还是很快的，内置&ldquo;酷睿Ultra&rdquo;新型芯片，性能还是很好的。
屏幕效果：120hz的高刷屏幕还是很能打的，质感很好，色彩还原度很高
散热性能：底部和两侧散热的布局很合理，也很美观
外形外观：颜值很高，质感嘎嘎的，我个小女生很喜欢
轻薄程度：比我想象中的还是轻很多，整机控制在两公斤以内。
还配备人脸识别功能，很nice。第一台笔记本没有踩坑，很满意",2025-02-15 22:21:10,湖南
车***客,5,听朋友的建议买了联想小新酷睿Ultra，发现还真的不错，加上国补，价格也很OK，周边的朋友都买了这款。客服小甜很不错,2025-01-24 17:38:06,浙江
暖***心,5,"运行速度：非常快
屏幕效果：OLed屏幕，效果非常棒
散热性能：很好
外形外观：非常精致
轻薄程度：很薄
运行速度：运行速度真的超级快
总体评价，我上一个电脑是18年的联想小新15，时隔七年再次更新，真的有被时代的进步震撼到！",2025-02-10 18:25:42,广东
张***y,5,"酷睿Ultra,很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心",2025-01-19 21:00:02,贵州
r***5,5,"年前就对比了好多台电脑，联想小新16Pro酷睿Ultra5，14pro，thinkbook16+,最后选定了小新16pro，我认为是性价比最高的超薄本，颜值也高，开机速度15秒。",2025-02-07 09:49:34,广东
j***b,5,这款小新14pro颜值非常高，酷睿Ultra的性能杠杠的一点都不卡，店铺客服也非常用心，物流非常快，下次换电脑还选联想小新！,2025-01-19 18:02:48,辽宁
g***d,5,"外形外观：外观非常漂亮，做工精细，质量非常好
散热性能：散热性能很好，用了好久也不热
屏幕效果：屏幕靓丽还护眼，对孩子视力友好，很喜欢
运行速度：很快，开机速度很快",2025-02-14 20:37:40,山东
6***k,5,"运行速度：很快，反应快
屏幕效果：很清晰很大观感很舒服
散热性能：好，不易发热
外形外观：好看，很合适
轻薄程度：不错，不是很厚重",2025-02-15 20:22:24,安徽
小***贝,5,"运行速度：酷睿Ultra 速度丝滑流畅
屏幕效果：屏幕看着眼镜很舒服
散热性能：电脑界的老大
外形外观：很漂亮 一见钟情的感觉",2025-02-08 11:21:15,江苏
j***q,5,申请了20%国补，价格非常优惠，联想作为老牌电脑，值得信赖，十几年前读大学时候，买的第一个笔记本就是联想Ｙ460，气温低就会出现花屏，去售后各种忽悠我不给我维修，这次还是选择了相信，希望能越来越好，冲着&ldquo;酷睿Ultra&rdquo;处理器强大，再次选择相信，祝我好运吧,2025-02-10 22:17:09,浙江
怪***x,5,"买的是小新pro14酷睿Ultra 刚刚到手，整体很轻薄，屏幕分辨率也很高
运行速度：挺快的 很不错",2025-02-06 11:55:33,福建
文***生,5,趁国家补贴时入手的，便宜了将近一千&hellip;&hellip;力度是真大&hellip;配置也是14寸里面的算是中高配了，用起来相当顺滑，来回带着走也不算特别重,2025-01-21 15:12:06,北京
6***9,5,酷睿Ultra AI pro 16轻薄好看，运行速度快，值得购买，又有国补，很划算，联想大品牌，值得信赖。,2025-01-22 22:16:19,湖北
j***8,5,"【联想小新Pro16】酷睿Ultra芯动力，16英寸超清大屏，性能与轻薄完美平衡，办公创作疾速畅行！
运行速度：非常快，一点都不卡
屏幕效果：屏幕看着很柔和
外形外观：外观很帅气
散热性能：散热也不错
轻薄程度：携带很方便",2025-02-16 21:46:35,河南
u***n,5,这款搭载酷睿UItra的笔记本性能超强，运行流畅，体验感非常棒！小柿子客服不错呐，服务耐心又贴心，推荐给大家！！！,2025-02-09 08:51:43,广东
j***A,5,"对比了很久,最终选择了这款联想小新pro14,酷睿Ultra5  32G+1Tb的配置.日常用来办公应该够用了...笔记本整理颜值也很在线,不过还是相对有点厚了.希望能用的久.",2025-02-02 17:27:12,湖北
又***咋,5,"运行速度：非常快。酷睿UlTRA 不错
屏幕效果：酷睿ultra显示很完美
散热性能：散热很快
外形外观：酷炫
轻薄程度：酷睿很好
其他特色：送货快",2025-02-16 21:32:30,上海
j***0,3,普普通通看后期使用吧，验过机是正品，可以相信自营店,2023-03-23 13:09:52,广西
j***f,5,"运行速度：很快
屏幕效果：高清
散热性能：效果很好
外形外观：漂亮，线条流畅
轻薄程度：轻薄本
散热能力：散热效果可以
酷睿Ultra5系列",2025-02-15 09:07:20,四川
h***d,5,"非常满意的一次购物
运行速度：很快 跟老电脑比简直像火箭一样 屏幕效果：通透  散热性能：还可以吧 外形外观：很喜欢 轻薄程度：跟之前的13寸差不了多少 酷睿Ultra很棒",2025-02-16 10:22:28,浙江
善***3,5,&lsquo;酷睿Ultra&rsquo;系列，刚好国家补贴20%买的，性价比太高了，用起来也非常丝滑，五星好评！,2025-02-08 10:34:49,福建
春***谢,5,"包装很好，全新小新Pro16酷睿Ultra标压版
酷睿Ultra 5 125H 14核标压处理器，32G极速内存，64W性能释放，120Hz高刷显示器，长时间续航，办公学习，平面设计，外出携带极其方便。运行速度快，噪音小，散热快。很好用的一款电脑。",2025-02-10 13:35:43,重庆
L***照,5,"运行速度：运行速度特别快，第一次使用的时候，上面有提示首次操作信息。
屏幕效果：屏幕效果很好，很清晰，也是研究很久了，才买的这款电脑。
散热性能：散热性能好，没有听见声音。还是很稳定的
外形外观：外观包装完好
轻薄程度：比较轻薄，容易携带
其他特色：屏幕特别舒服，清晰度高
散热能力：散热能力好，用着也不热
运行速度：在京东上看了很久，看了很多品牌，最终选择的这款酷睿Ultra，最主要还是看运行速度，这个是我比较满意的。",2025-02-16 20:47:17,黑龙江
j***3,5,酷睿Ultra 很棒杠杠的 ◔.̮◔✧买到了物美价廉的好商品，质量杠杠的。物流给力，商家服务周到，售后有求必应。,2025-02-03 20:52:49,四川
j***8,5,"酷睿ultra运行速度快，开机不到十秒，轻薄，适合上班族，经常带电脑外出人士，值得购买，第二次！商家服务也很好！
屏幕效果：清晰
散热性能：高
外形外观：美观
运行速度：快",2025-02-15 20:27:23,北京
s***y,5,新电脑手感很好，金属机身，还是14寸的键盘舒服，酷睿Ultra5处理器，运行速度很快，用烤机工具试了一下，性能释放63-68W，跟官方描述一致，很完美，还送了氮化镓充电器，小巧方便携带。,2025-02-16 09:24:14,江苏
S***5,5,酷睿Ultra的cpu特别好，性能好，国补价格特别优惠，非常喜欢，真的性价比超级高。外观也好，物流也快。真的超赞。,2025-02-13 21:18:59,广东
j***y,5,买了联想小新 酷睿ultra非常快  电脑非常流畅  现实也很完美  正常家用办公都没得说  下次还会继续选择联想的,2025-01-23 16:43:05,黑龙江
M***薄,5,"这款联想小新Pro 16电脑性能非常出色，搭载了最新的&ldquo;酷睿Ultra&rdquo;处理器，运行速度快，处理多任务毫无压力。屏幕显示效果清晰，色彩鲜艳，非常适合办公和娱乐使用。整体设计轻薄便携，散热效果也很好，长时间使用也不会发热。非常满意这次购买，强烈推荐！
散热性能：好
运行速度：快
屏幕效果：优秀
外形外观：漂亮",2025-02-16 11:27:39,广东
9***6,5,"一直想买的一款，比较多家 最终选择了它，很喜欢。
客服耐心，机器满意
也最终享受了国补，完美对新年礼物，送给自己",2025-02-07 16:32:45,辽宁
j***M,5,看了很久的电脑一直想买今天买回来了，酷睿UItra 9这个配置太高端了，带AI功能，联想小新就是好，我们同事一起直接买了三台！！！！！,2025-02-05 12:19:31,山西
刘***鸭,5,这是我第无数次在网上买东西啦，棒棒棒东西便宜，而且呢质量又好，物美价又廉，买的放心，用的开心。根本停不下来，东西品种很多，而且又特别划算方便而且实惠到货还很快，东西包装也很好，而且没有任何的损坏，会一直支持下去的。服务很好，也很好用。好评好评，下次还会再来的。,2025-01-31 16:23:39,河北
j***l,5,新电脑用来工作的，很顺畅，验机的时候也安全下车。外观设计大方，轻薄，性能方面处理的也快，键盘手感也不错，屏幕效果也好，验机的时候试了一下，没有漏光，非常推荐大家使用,2025-02-16 10:39:18,广东
j***o,5,酷睿Ultra9用起来是真的很流畅，小新pro16无论是外观还是屏幕素质性价比都很高，多来好几个软件儿也没有任何问题,2025-01-22 12:02:30,内蒙古
陈***2,5,刚好快过年了，给自己买了一台电脑，这个价格很合适，买到了联想酷睿Ultra这个配置的电脑非常实惠，运行也非常流畅，很满意，家里一直用的联想的电脑还会继续支持，这个品牌，很棒,2025-01-23 17:26:47,江苏
自***傅,5,京东物流好给力，第二天就到货啦，非常满意，纠结好久，选择了酷睿ultra5处理器智能AI，这个很适合我，非常满意的一次购物，买电器还是得京东,2025-01-27 18:55:32,辽宁
j***a,5,"快递很快，第二天就到了，酷睿Ultra的处理器性能是真的好，那来这代码没有任何压力，必须好评，值得购买！！
运行速度：很流畅，比我想象的还好
屏幕效果：很清晰
散热性能：没有发烫的感觉，棒
外形外观：高端大气",2025-02-15 15:06:03,广东
